cyclomatic_complexity,number_of_instructions,has_methode_onReceive,full_name
9,171,true,onReceive#com.amaze.filemanager.fragments.ProcessViewer$1
7,115,true,onReceive#com.amaze.filemanager.fragments.ProcessViewer$3
9,132,true,onReceive#com.amaze.filemanager.fragments.ProcessViewer$2
8,60,true,onReceive#com.amaze.filemanager.activities.MainActivity$21
5,40,true,onReceive#com.androidemu.nes.DeviceListActivity$3
8,41,true,onReceive#org.bottiger.podcast.receiver.NotificationReceiver
4,23,true,onReceive#org.bottiger.podcast.receiver.PowerReceiver
9,65,true,onReceive#org.bottiger.podcast.receiver.HeadsetReceiver
5,35,true,onReceive#org.bottiger.podcast.receiver.DownloadManagerReceiver
5,23,true,onReceive#org.mariotaku.twidere.nyan.NyanWallpaperService$NyanWallpaperEngine$1
7,45,true,onReceive#org.mariotaku.twidere.receiver.NotificationReceiver
10,35,true,onReceive#org.mariotaku.twidere.fragment.support.UserFollowersFragment$1
14,89,true,onReceive#org.mariotaku.twidere.service.RefreshService$1
9,53,true,onReceive#org.mariotaku.twidere.receiver.ConnectivityStateReceiver
11,45,true,onReceive#org.mariotaku.twidere.fragment.support.UserListFragment$1
6,22,true,onReceive#org.mariotaku.twidere.fragment.support.UserListsFragment$1
8,31,true,onReceive#org.mariotaku.twidere.fragment.support.UserListMembersFragment$1
5,20,true,onReceive#org.mariotaku.twidere.fragment.BaseFiltersFragment$1
10,31,true,onReceive#org.adaway.service.ConnectivityReceiver
9,29,true,onReceive#org.adaway.ui.BaseActivity$1
4,28,true,onReceive#jackpal.androidterm.Term$1
8,31,true,onReceive#org.wordpress.android.ui.WPActionBarActivity$8
4,64,true,onReceive#org.brandroid.openmanager.activities.BluetoothActivity$2
7,47,true,onReceive#org.adblockplus.android.Preferences$5
4,21,true,onReceive#org.adblockplus.android.ProxyService$3
10,110,true,onReceive#org.adblockplus.android.ProxyService$5
7,46,true,onReceive#org.adblockplus.android.updater.AlarmReceiver
7,41,true,onReceive#org.adblockplus.android.Starter
17,85,true,onReceive#aarddict.android.BaseDictionaryActivity$2
6,24,true,onReceive#com.eolwral.osmonitor.BootUpReceiver
7,167,true,onReceive#com.eolwral.osmonitor.ui.MiscFragment$1
8,50,true,onReceive#org.adw.launcher.UninstallShortcutReceiver
6,18,true,onReceive#org.adw.launcher.InstallShortcutReceiver
16,112,true,onReceive#org.adw.launcher.Launcher$ApplicationsIntentReceiver
6,33,true,onReceive#org.adw.launcher.CounterReceiver
45,8,true,onReceive#org.connectbot.service.ConnectivityReceiver
42,6,true,onReceive#net.gsantner.markor.activity.MainActivity$2
38,5,true,onReceive#com.amaze.filemanager.fragments.FtpServerFragment$1
90,8,true,onReceive#com.amaze.filemanager.fragments.FtpServerFragment$2
22,5,true,onReceive#com.amaze.filemanager.ui.notifications.FtpNotification
45,8,true,onReceive#com.amaze.filemanager.utils.MainActivityHelper$1
38,5,true,onReceive#com.amaze.filemanager.fragments.MainFragment$4
34,4,true,onReceive#com.amaze.filemanager.asynchronous.services.ftp.FtpReceiver
17,5,true,onReceive#net.pmarks.chromadoze.MediaButtonReceiver
28,6,true,onReceive#com.liato.bankdroid.appwidget.BankdroidWidgetProvider
36,7,true,onReceive#com.liato.bankdroid.liveview.PluginReceiver
